Emp_ID,Emp_Age,Emp_Gender,Education_Level,Education_Field,Dist_from_home,Company_name,Location_HQ,Industry,Country,Emp_Job_Role,Emp_Job_Level,Emp_Job_Satisfaction,Emp_Salary,Emp_Salary_Hike_Per,Emp_Performance_Rating,OverTime,No_Companies_Worked,Emp_Experience,Years_At_Company,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Curr_Manager,Work_Life_Balance,Business_Travel,Laid_Off_Count,Laid_Off_Percentage,Laid_Off_Date,Laid_off_Month_Year
18,34,Male,2,Medical,19,OLX Group,Amsterdam,Marketing,Netherlands,Laboratory Technician,1,4,2661,11,3,No,0,3,2,2,1,2,3,Travel_Rarely,1500,15%,1/30/23,Jan-23
1,41,Female,2,,,,,,,,,,,,,,,,,,,,,,,,,
19,28,Male,3,Life Sciences,24,Arrival,London,Transportation,United Kingdom,Laboratory Technician,1,3,2028,14,3,Yes,5,6,4,2,0,3,3,Travel_Rarely,800,50%,1/30/23,Jan-23
20,29,Female,4,Life Sciences,21,Glovo,Barcelona,Food,Spain,Manufacturing Director,3,1,9980,11,3,No,1,10,10,9,8,8,3,Travel_Rarely,250,6%,1/30/23,Jan-23
5,33,Female,4,,,,,,,,,,,,,,,,,,,,,,,,,
21,32,Male,2,Life Sciences,5,Delivery Hero,Berlin,Food,Germany,Research Scientist,1,2,3298,12,3,Yes,0,7,6,2,0,5,2,Travel_Rarely,156,4%,1/30/23,Jan-23
22,22,Male,2,Medical,16,Impossible Foods copy,SF Bay Area,Food,United States,Laboratory Technician,1,4,2935,13,3,Yes,1,1,1,0,0,0,2,Non-Travel,140,20%,1/30/23,Jan-23
23,53,Female,4,Life Sciences,2,Chrono24,Karlsruhe,Retail,Germany,Manager,4,4,15427,16,3,No,2,31,25,8,3,7,3,Travel_Rarely,65,13%,1/30/23,Jan-23
24,38,Male,3,Life Sciences,2,Me Poupe,Sao Paulo,Finance,Brazil,Research Scientist,1,4,3944,11,3,Yes,5,6,3,2,1,2,3,Travel_Rarely,60,50%,1/28/23,Jan-23
26,24,Female,2,Other,11,SSense,Montreal,Retail,Canada,Manufacturing Director,2,3,4011,18,3,No,0,5,4,2,1,3,2,Non-Travel,138,7%,1/27/23,Jan-23
33,32,Female,1,,,,,,,,,,,,,,,,,,,,,,,,,
27,36,Male,4,Life Sciences,9,DealShare,Bengaluru,Retail,India,Sales Representative,1,1,3407,23,4,No,7,10,5,3,0,3,3,Travel_Rarely,100,6%,1/27/23,Jan-23
28,34,Female,4,Life Sciences,7,Matrixport,Singapore,Crypto,Singapore,Research Director,3,2,11994,11,3,No,0,13,12,6,2,11,3,Travel_Rarely,29,10%,1/27/23,Jan-23
30,21,Male,2,Life Sciences,15,Shakepay,Montreal,Crypto,Canada,Research Scientist,1,4,1232,14,3,No,1,0,0,0,0,0,3,Travel_Rarely,21,25%,1/27/23,Jan-23
31,34,Male,1,Medical,6,#Paid,Toronto,Marketing,Canada,Research Scientist,1,1,2960,11,3,No,2,8,4,2,1,3,3,Travel_Rarely,19,17%,1/27/23,Jan-23
32,53,Female,3,Other,5,SAP,Walldorf,Other,Germany,Manager,5,3,19094,11,3,No,4,26,14,13,4,8,2,Travel_Rarely,3000,3%,1/26/23,Jan-23
33,32,Female,1,Life Sciences,16,Confluent,SF Bay Area,Data,United States,Research Scientist,1,1,3919,22,4,Yes,1,10,10,2,6,7,3,Travel_Frequently,221,8%,1/26/23,Jan-23
35,42,Male,4,Marketing,8,IBM,New York City,Hardware,United States,Sales Executive,2,2,6825,11,3,No,0,10,9,7,4,2,3,Travel_Rarely,3900,2%,1/25/23,Jan-23
36,44,Female,4,Medical,7,Lam Research,SF Bay Area,Hardware,United States,Healthcare Representative,3,4,10248,14,3,No,3,24,22,6,5,17,3,Travel_Rarely,1300,7%,1/25/23,Jan-23
38,46,Female,4,Marketing,2,Luno,London,Crypto,United Kingdom,Manager,5,1,18947,12,3,No,3,22,2,2,2,1,2,Travel_Rarely,330,35%,1/25/23,Jan-23
39,33,Male,3,Medical,2,Clear Capital,Reno,Real Estate,United States,Laboratory Technician,1,4,2496,11,3,No,4,7,1,1,0,0,3,Travel_Rarely,250,25%,1/25/23,Jan-23
40,44,Male,4,Other,10,Guardant Health,SF Bay Area,Healthcare,United States,Healthcare Representative,2,4,6465,13,3,Yes,2,9,4,2,1,3,4,Travel_Rarely,130,7%,1/25/23,Jan-23
41,30,Male,2,Medical,9,SirionLabs,Seattle,Legal,United States,Laboratory Technician,1,3,2206,13,3,No,1,10,10,0,1,8,3,Travel_Rarely,130,15%,1/25/23,Jan-23
51,36,Female,4,,5,,,,,,1,1,,,,,,,,,,,,,,,,
42,39,Male,3,Technical Degree,5,Tier Mobility,Berlin,Transportation,Germany,Sales Representative,2,4,2086,14,3,No,3,19,1,0,0,0,4,Travel_Rarely,80,7%,1/25/23,Jan-23
45,24,Male,3,Medical,1,Vacasa,Portland,Travel,United States,Research Scientist,1,4,2293,16,3,Yes,2,6,2,0,2,0,2,Travel_Rarely,1300,17%,1/24/23,Jan-23
46,43,Female,2,Medical,2,Innovaccer,SF Bay Area,Healthcare,United States,Research Scientist,1,3,2645,12,3,No,1,6,5,3,1,4,2,Travel_Rarely,245,15%,1/24/23,Jan-23
47,50,Male,2,Marketing,3,Bolt,SF Bay Area,Finance,United States,Sales Representative,1,3,2683,14,3,Yes,1,3,3,2,0,2,3,Travel_Rarely,50,10%,1/24/23,Jan-23
49,35,Female,3,Marketing,2,PartnerStack,Toronto,Sales,Canada,Sales Representative,1,4,2014,13,3,No,1,2,2,2,2,2,3,Travel_Rarely,40,20%,1/24/23,Jan-23
51,36,Female,4,Life Sciences,5,Gitpod,Kiel,Product,Germany,Research Scientist,1,1,3419,14,3,Yes,9,6,1,1,0,0,4,Travel_Rarely,21,28%,1/24/23,Jan-23
52,33,Female,3,Life Sciences,1,Venngage,Toronto,Marketing,Canada,Sales Executive,2,1,5376,19,3,No,2,10,5,3,1,3,3,Travel_Frequently,11,20%,1/24/23,Jan-23
53,35,Male,2,Other,4,Spotify,Stockholm,Media,Sweden,Laboratory Technician,1,4,1951,12,3,No,1,1,1,0,0,0,3,Travel_Rarely,600,6%,1/23/23,Jan-23
54,27,Female,4,Life Sciences,2,Uber Freight,SF Bay Area,Logistics,United States,Laboratory Technician,1,1,2341,13,3,No,1,1,1,0,0,0,3,Travel_Rarely,150,3%,1/23/23,Jan-23
55,26,Male,3,Life Sciences,25,Innovid,New York City,Marketing,United States,Laboratory Technician,1,3,2293,12,3,No,1,1,1,0,0,1,2,Travel_Rarely,40,10%,1/23/23,Jan-23
56,27,Male,3,Life Sciences,8,Ermetic,SF Bay Area,Security,United States,Sales Executive,3,3,8726,15,3,No,1,9,9,8,1,7,3,Travel_Frequently,30,17%,1/23/23,Jan-23
57,30,Female,2,Medical,1,Namogoo,Tel Aviv,Marketing,United States,Laboratory Technician,2,4,4011,23,4,No,1,12,12,8,3,7,3,Travel_Frequently,20,15%,1/23/23,Jan-23
64,48,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
58,41,Female,3,Technical Degree,12,Google,SF Bay Area,Consumer,United States,Research Director,5,3,19545,12,3,No,1,23,22,15,15,8,3,Travel_Rarely,12000,6%,1/20/23,Jan-23
60,34,Male,4,Marketing,23,Wayfair,Boston,Retail,United States,Sales Executive,2,3,4568,20,4,No,0,10,9,5,8,7,3,Non-Travel,1750,10%,1/20/23,Jan-23
61,37,Male,2,Life Sciences,19,Swiggy,Bengaluru,Food,India,Research Scientist,1,2,3022,21,4,No,4,8,1,0,0,0,3,Travel_Rarely,380,6%,1/20/23,Jan-23
62,46,Male,4,Marketing,5,Vox Media,Washington D.C.,Media,United States,Sales Executive,2,4,5772,21,4,Yes,4,14,9,6,0,8,3,Travel_Frequently,130,7%,1/20/23,Jan-23
63,35,Male,1,Life Sciences,8,Enjoei,Sao Paulo,Retail,Brazil,Laboratory Technician,1,4,2269,19,3,No,1,1,1,0,0,1,3,Travel_Rarely,31,10%,1/20/23,Jan-23
64,48,Male,2,Life Sciences,1,Citrine Informatics,SF Bay Area,Data,United States,Laboratory Technician,3,3,5381,13,3,Yes,9,23,1,0,0,0,3,Travel_Rarely,22,27%,1/20/23,Jan-23
65,28,Male,4,Technical Degree,5,Hubilo,SF Bay Area,Other,United States,Laboratory Technician,1,3,3441,13,3,Yes,1,2,2,2,2,2,2,Travel_Rarely,115,35%,1/19/23,Jan-23
68,44,Female,5,Marketing,1,Saks.com,New York City,Retail,United States,Sales Executive,2,1,5454,21,4,Yes,5,9,4,3,1,3,2,Travel_Rarely,100,5%,1/19/23,Jan-23
70,35,Male,2,Medical,11,CS Disco,Austin,Legal,United States,Healthcare Representative,3,1,9884,13,3,Yes,2,10,4,0,2,3,3,Non-Travel,62,9%,1/19/23,Jan-23
72,26,Female,3,Marketing,23,Microsoft,Seattle,Other,United States,Sales Executive,2,4,4157,19,3,Yes,7,5,2,2,0,0,2,Travel_Rarely,10000,5%,1/18/23,Jan-23
73,33,Female,2,Life Sciences,1,Sophos,Oxford,Security,United States,Research Director,3,4,13458,12,3,Yes,1,15,15,14,8,12,3,Travel_Frequently,450,10%,1/18/23,Jan-23
74,35,Male,5,Life Sciences,18,Teladoc Health,New York City,Healthcare,United States,Sales Executive,3,1,9069,22,4,No,1,9,9,8,1,8,2,Travel_Frequently,300,6%,1/18/23,Jan-23
75,35,Female,4,,,,,,,,,,,,,,,,,,,,,,,,,
75,35,Female,4,Medical,23,Vroom,New York City,Transportation,United States,Laboratory Technician,1,1,4014,15,3,Yes,3,4,2,2,2,2,3,Travel_Rarely,275,20%,1/18/23,Jan-23
76,31,Male,4,Life Sciences,7,8x8,SF Bay Area,Support,United States,Laboratory Technician,2,4,5915,22,4,No,3,10,7,7,1,7,2,Travel_Rarely,155,7%,1/18/23,Jan-23
77,37,Male,4,Life Sciences,1,Pagaya,New York City,Finance,United States,Manufacturing Director,2,3,5993,18,3,No,1,7,7,5,0,7,4,Travel_Rarely,140,20%,1/18/23,Jan-23
78,32,Male,3,Medical,1,Benevity,Calgary,Other,Canada,Manufacturing Director,2,4,6162,22,4,Yes,1,9,9,8,7,8,3,Travel_Rarely,137,14%,1/18/23,Jan-23
79,38,Female,5,Life Sciences,29,Inspirato,Denver,Travel,United States,Laboratory Technician,2,4,2406,11,3,No,1,10,10,3,9,9,3,Travel_Frequently,109,12%,1/18/23,Jan-23
80,50,Female,2,Medical,7,Jumpcloud,Boulder,Security,United States,Research Director,5,3,18740,12,3,Yes,5,29,27,3,13,8,2,Travel_Rarely,100,12%,1/18/23,Jan-23
81,59,Female,3,Life Sciences,25,nCino,Wilmington,Finance,United States,Sales Executive,3,1,7637,11,3,No,7,28,21,16,7,9,2,Travel_Rarely,100,7%,1/18/23,Jan-23
83,36,Female,3,Technical Degree,8,Starry,Boston,Other,United States,Healthcare Representative,3,3,10096,13,3,No,1,17,17,14,12,8,3,Travel_Rarely,100,24%,1/18/23,Jan-23
84,55,Female,3,Medical,8,Hootsuite,Vancouver,Marketing,Canada,Manager,4,3,14756,14,3,Yes,2,21,5,0,0,2,3,Travel_Rarely,70,7%,1/18/23,Jan-23
85,36,Male,3,Life Sciences,11,Clue,Berlin,Healthcare,Germany,Manufacturing Director,2,2,6499,13,3,No,1,6,6,5,0,3,3,Travel_Frequently,31,31%,1/18/23,Jan-23
86,45,Male,3,Life Sciences,7,Addepar,SF Bay Area,Finance,United States,Research Scientist,3,1,9724,17,3,No,2,25,1,0,0,0,3,Travel_Rarely,20,3%,1/18/23,Jan-23
88,35,Male,3,Medical,1,Lightspeed Commerce,Montreal,Retail,Canada,Research Scientist,1,1,2194,13,3,No,4,5,3,2,1,2,2,Travel_Frequently,300,10%,1/17/23,Jan-23
90,36,Male,,,,,,,,,,,,,,,,,,,,,,,,,,
90,36,Male,3,Medical,9,Unity,SF Bay Area,Other,United States,Research Scientist,1,3,3388,17,3,Yes,0,2,1,0,0,0,2,Travel_Rarely,284,3%,1/17/23,Jan-23
91,59,Female,1,Life Sciences,1,Britishvolt,London,Transportation,United Kingdom,Sales Executive,2,3,5473,11,3,No,7,20,4,3,1,3,2,Travel_Frequently,206,100%,1/17/23,Jan-23
94,29,Male,3,Life Sciences,2,Exotel,Bengaluru,Support,India,Research Scientist,1,2,2703,23,4,No,0,6,5,4,0,4,3,Travel_Rarely,142,15%,1/17/23,Jan-23
95,31,Male,4,Medical,1,Unico,Sao Paulo,Other,Brazil,Research Scientist,1,2,2501,17,3,No,1,1,1,1,1,0,3,Travel_Rarely,110,10%,1/17/23,Jan-23
96,32,Male,3,Life Sciences,1,American Robotics,Boston,Other,United States,Research Scientist,2,2,6220,17,3,No,1,10,10,4,0,9,3,Travel_Rarely,50,65%,1/17/23,Jan-23
97,36,Female,3,Life Sciences,6,PagBank,Sao Paulo,Finance,Brazil,Laboratory Technician,1,4,3038,12,3,No,3,5,1,0,0,0,3,Travel_Rarely,500,7%,1/16/23,Jan-23
98,31,Female,4,Life Sciences,8,ShareChat,Bengaluru,Consumer,India,Manufacturing Director,2,4,4424,23,4,No,1,11,11,7,1,8,3,Travel_Rarely,500,20%,1/16/23,Jan-23
100,35,Male,4,Marketing,1,ClearCo,Toronto,Finance,Canada,Sales Executive,2,1,4312,14,3,No,0,16,15,13,2,8,3,Travel_Rarely,50,30%,1/16/23,Jan-23
101,45,Male,4,Other,6,Snappy,New York City,Marketing,United States,Research Director,3,1,13245,14,3,Yes,4,17,0,0,0,0,4,Travel_Rarely,100,30%,1/15/23,Jan-23
102,37,Male,4,Medical,7,BharatAgri,Mumbai,Food,India,Research Director,3,3,13664,13,3,No,4,16,5,2,0,2,4,Travel_Rarely,40,43%,1/15/23,Jan-23
103,46,Male,2,Medical,5,Bonterra ,Austin,Other,United States,Human Resources,2,2,5021,22,4,Yes,8,16,4,2,0,2,3,Travel_Rarely,140,10%,1/13/23,Jan-23
104,30,Male,1,Life Sciences,1,Lending Club,SF Bay Area,Finance,United States,Laboratory Technician,2,4,5126,12,3,Yes,1,10,10,8,3,0,2,Travel_Rarely,225,14%,01-12-2023,Jan-23
105,35,Male,3,Medical,1,SmartNews,Tokyo,Media,United States,Research Scientist,1,3,2859,18,3,No,1,6,6,4,0,4,3,Travel_Rarely,120,40%,01-12-2023,Jan-23
106,55,Male,2,Life Sciences,1,Pier,Sao Paulo,Finance,Brazil,Sales Executive,3,4,10239,14,3,No,3,24,1,0,1,0,3,Travel_Rarely,111,39%,01-12-2023,Jan-23
107,38,Female,3,Medical,6,Blockchain.com,London,Crypto,United Kingdom,Research Scientist,2,4,5329,12,3,Yes,7,17,13,11,1,9,3,Non-Travel,110,28%,01-12-2023,Jan-23
110,34,Male,2,Medical,1,Greenlight,Atlanta,Finance,United States,Manufacturing Director,2,2,4325,15,3,No,1,5,5,2,1,3,3,Travel_Rarely,104,21%,01-12-2023,Jan-23
112,56,Male,3,Life Sciences,7,Definitive Healthcare,Boston,Healthcare,United States,Manufacturing Director,3,4,7260,11,3,No,4,37,6,4,0,2,2,Travel_Rarely,55,6%,01-12-2023,Jan-23
113,23,Male,1,Technical Degree,2,Akili Labs,Baltimore,Healthcare,United States,Sales Representative,1,1,2322,13,3,No,3,3,0,0,0,0,3,Travel_Rarely,46,30%,01-12-2023,Jan-23
116,51,Male,4,Life Sciences,9,Flexport,SF Bay Area,Logistics,United States,Laboratory Technician,1,4,2075,23,4,No,3,10,4,2,0,3,3,Travel_Rarely,640,20%,01-11-2023,Jan-23
117,30,Male,3,Life Sciences,2,Qualtrics,Salt Lake City,Other,United States,Healthcare Representative,2,4,4152,19,3,No,1,11,11,10,10,8,3,Travel_Rarely,270,5%,01-11-2023,Jan-23
118,46,Male,2,Medical,9,Verily,SF Bay Area,Healthcare,United States,Sales Executive,3,4,9619,16,3,No,1,9,9,8,4,7,3,Travel_Rarely,250,15%,01-11-2023,Jan-23
119,40,Male,4,Life Sciences,1,Tipalti,SF Bay Area,Finance,United States,Healthcare Representative,4,2,13503,22,4,No,1,22,22,3,11,11,2,Travel_Frequently,123,11%,01-11-2023,Jan-23
120,51,Male,4,Marketing,21,Jumio,SF Bay Area,Security,United States,Sales Executive,2,4,5441,22,4,Yes,0,11,10,7,1,0,1,Travel_Rarely,100,6%,01-11-2023,Jan-23
121,30,Female,2,Medical,4,Intrinsic,SF Bay Area,Other,United States,Sales Executive,2,2,5209,12,3,Yes,1,11,11,8,2,7,2,Travel_Rarely,40,20%,01-11-2023,Jan-23
124,46,Male,3,Medical,1,Coinbase,SF Bay Area,Crypto,United States,Healthcare Representative,3,1,10673,13,3,Yes,2,21,10,9,9,5,2,Travel_Frequently,950,20%,01-10-2023,Jan-23
125,32,Male,4,Medical,6,Informatica,SF Bay Area,Data,United States,Sales Executive,2,3,5010,16,3,No,1,12,11,8,5,7,3,Travel_Rarely,450,7%,01-10-2023,Jan-23
126,54,Female,4,Technical Degree,2,Blend,SF Bay Area,Finance,United States,Research Director,3,3,13549,12,3,No,9,16,4,3,0,3,1,Travel_Rarely,340,28%,01-10-2023,Jan-23
128,24,Female,2,Other,3,ConsenSys,New York City,Crypto,United States,Sales Executive,2,3,4999,21,4,No,0,4,3,2,0,2,2,Travel_Rarely,100,11%,01-10-2023,Jan-23
129,28,Male,3,Medical,4,ForeScout,SF Bay Area,Security,United States,Sales Executive,2,3,4221,15,3,No,1,5,5,4,0,4,4,Non-Travel,100,10%,01-10-2023,Jan-23
131,58,Male,4,Medical,10,Thinkific,Vancouver,Education,Canada,Sales Executive,4,3,13872,13,3,No,0,38,37,10,1,8,2,Travel_Rarely,76,19%,01-10-2023,Jan-23
132,44,Male,3,Medical,23,Parler,Nashville,Consumer,United States,Laboratory Technician,2,2,2042,12,3,No,4,17,3,2,1,2,4,Non-Travel,60,75%,01-10-2023,Jan-23
133,37,Male,4,Human Resources,6,GoBolt,Toronto,Logistics,Canada,Human Resources,1,1,2073,22,4,Yes,4,7,3,2,0,2,3,Travel_Rarely,55,5%,01-10-2023,Jan-23
134,32,Male,1,Life Sciences,1,Relevel,Bengaluru,HR,India,Research Scientist,1,1,2956,13,3,No,1,1,1,0,0,0,3,Travel_Rarely,40,20%,01-10-2023,Jan-23
137,20,Female,3,Life Sciences,6,StreamElements,Tel Aviv,Media,Israel,Laboratory Technician,1,4,2926,18,3,Yes,1,1,1,0,1,0,3,Travel_Frequently,40,20%,01-10-2023,Jan-23
138,34,Female,4,Other,6,Fate Therapeutics,San Diego,Healthcare,United States,Research Scientist,2,3,4809,14,3,No,1,16,16,13,2,10,3,Travel_Rarely,315,57%,01-09-2023,Jan-23
139,37,Male,2,Life Sciences,2,Minute Media,London,Media,United Kingdom,Healthcare Representative,2,4,5163,14,3,No,5,17,1,0,0,0,4,Non-Travel,50,10%,01-08-2023,Jan-23
140,59,Female,4,Human Resources,2,WalkMe,SF Bay Area,Other,United States,Manager,5,4,18844,21,4,No,9,30,3,2,2,2,3,Non-Travel,43,3%,01-08-2023,Jan-23
141,50,Female,3,Life Sciences,1,Huobi,Beijing,Crypto,China,Research Director,5,2,18172,19,3,Yes,3,28,8,3,0,7,2,Travel_Frequently,275,20%,01-06-2023,Jan-23
142,25,Male,3,Marketing,5,Bounce,Bengaluru,Transportation,India,Sales Executive,2,3,5744,11,3,Yes,1,6,6,4,0,3,3,Travel_Rarely,40,5%,01-06-2023,Jan-23
143,25,Male,1,Medical,7,SoundHound,SF Bay Area,Other,United States,Research Scientist,1,4,2889,11,3,No,1,2,2,2,2,1,3,Travel_Rarely,200,50%,01-05-2023,Jan-23
144,22,Female,3,Medical,15,Socure,Reno,Finance,United States,Laboratory Technician,1,4,2871,15,3,No,1,1,0,0,0,0,3,Travel_Rarely,104,19%,01-05-2023,Jan-23
145,51,Female,4,Medical,1,Genesis,New York City,Crypto,United States,Healthcare Representative,3,1,7484,20,4,No,3,23,13,12,12,8,2,Travel_Frequently,60,30%,01-05-2023,Jan-23
147,34,Male,3,Life Sciences,7,Moglix,Singapore,Retail,Singapore,Laboratory Technician,2,3,6074,24,4,Yes,1,9,9,7,0,6,3,Travel_Frequently,40,2%,01-05-2023,Jan-23
148,54,Female,3,Human Resources,26,Everlane,SF Bay Area,Retail,United States,Manager,4,4,17328,12,3,Yes,2,23,5,3,4,4,3,Non-Travel,30,17%,01-05-2023,Jan-23
150,24,Male,1,Life Sciences,18,Pecan AI,Tel Aviv,Data,Israel,Laboratory Technician,1,3,2774,12,3,No,0,6,5,3,1,2,3,Travel_Rarely,30,25%,01-05-2023,Jan-23
151,34,Female,4,Life Sciences,6,Personetics,New York City,Support,United States,Research Scientist,2,2,4505,15,3,No,6,12,1,0,0,0,3,Travel_Rarely,30,8%,01-05-2023,Jan-23
152,37,Male,3,Life Sciences,3,Twine Solutions ,Tel Aviv,Hardware,Israel,Sales Executive,3,4,7428,12,3,No,2,12,5,3,1,3,3,Travel_Rarely,30,33%,01-05-2023,Jan-23
153,34,Female,3,Medical,5,UpScalio,Gurugram,Retail,India,Manager,3,1,11631,12,3,No,2,14,11,10,5,8,3,Travel_Rarely,25,15%,01-05-2023,Jan-23
154,36,Female,2,Technical Degree,11,Amazon,Seattle,Retail,United States,Sales Executive,3,4,9738,14,3,No,0,10,9,7,2,8,3,Travel_Frequently,8000,2%,01-04-2023,Jan-23
155,36,Female,2,Life Sciences,3,Salesforce,SF Bay Area,Sales,United States,Laboratory Technician,1,4,2835,22,4,No,5,7,1,0,0,0,3,Travel_Rarely,8000,10%,01-04-2023,Jan-23
158,43,Male,2,Life Sciences,26,Astronomer,Cincinnati,Data,United States,Manager,4,4,16959,12,3,Yes,1,25,25,12,4,12,4,Travel_Frequently,76,20%,01-04-2023,Jan-23
159,30,Male,3,Life Sciences,23,Kaltura,New York City,Media,United States,Research Scientist,1,3,2613,25,4,No,1,10,10,7,0,9,2,Travel_Frequently,75,11%,01-04-2023,Jan-23
160,33,Male,2,Marketing,22,Augury,New York City,Manufacturing,United States,Sales Executive,2,2,6146,13,3,No,0,8,7,7,0,7,4,Non-Travel,20,5%,01-04-2023,Jan-23
161,56,Female,4,Life Sciences,14,Pegasystems,Boston,HR,United States,Research Scientist,1,2,4963,18,3,Yes,9,7,5,4,4,3,3,Travel_Rarely,245,4%,01-03-2023,Jan-23
162,51,Male,3,Life Sciences,6,Uniphore,SF Bay Area,Support,United States,Research Director,5,3,19537,13,3,No,7,23,20,18,15,15,3,Travel_Rarely,76,10%,01-03-2023,Jan-23
163,31,Male,4,Life Sciences,6,Harappa,New Delhi,Education,India,Sales Executive,2,3,6172,18,3,Yes,4,12,7,7,7,7,2,Travel_Rarely,60,30%,01-03-2023,Jan-23
164,26,Female,3,Other,6,Amdocs,St. Louis,Support,United States,Research Scientist,1,2,2368,19,3,No,1,5,5,4,4,3,2,Travel_Rarely,700,3%,01-02-2023,Jan-23
165,58,Female,4,Medical,23,PayU,Amsterdam,Finance,Netherlands,Healthcare Representative,3,4,10312,12,3,No,1,40,40,10,15,6,2,Travel_Rarely,150,6%,12/26/22,Dec-22
167,19,Male,1,Marketing,22,Willow,Sydney,Real Estate,Australia,Sales Representative,1,3,1675,19,3,Yes,1,0,0,0,0,0,2,Travel_Rarely,99,22%,12/23/22,Dec-22
169,22,Male,1,Technical Degree,2,Back Market,Paris,Retail,France,Laboratory Technician,1,4,2523,14,3,No,0,3,2,1,2,1,3,Travel_Rarely,93,13%,12/23/22,Dec-22
170,49,Female,4,Medical,20,TuSimple,San Diego,Transportation,United States,Manufacturing Director,2,1,6567,14,3,No,1,16,15,11,5,11,2,Travel_Rarely,350,25%,12/21/22,Dec-22
171,43,Female,3,Medical,28,Chope,Singapore,Food,Singapore,Research Scientist,1,3,4739,12,3,No,4,18,3,2,1,2,3,Travel_Frequently,65,24%,12/20/22,Dec-22
174,50,Female,3,Marketing,12,Briza,Toronto,Finance,Canada,Sales Executive,3,4,9208,11,3,No,4,16,2,2,2,1,3,Travel_Frequently,26,40%,12/20/22,Dec-22
175,31,Female,3,Life Sciences,20,Homebot,Denver,Real Estate,United States,Sales Executive,2,3,4559,11,3,Yes,3,4,2,2,2,2,3,Travel_Rarely,18,13%,12/19/22,Dec-22
176,41,Male,1,Life Sciences,9,Tomorrow,Hamburg,Finance,Germany,Sales Executive,3,3,8189,13,3,Yes,3,12,9,7,0,7,3,Travel_Rarely,30,25%,12/16/22,Dec-22
177,26,Female,1,Life Sciences,25,Revelate,Montreal,Data,Canada,Human Resources,1,3,2942,23,4,No,1,8,8,7,5,7,3,Travel_Rarely,24,30%,12/16/22,Dec-22
